node_kind,node_id,name_en,latitude,longitude,osm_fclass,match_quality,source
place,PLC0242,Mirpur-11 1/2,23.8156691,90.3661268,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0244,Mirpur-14,23.7987123,90.3867674,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0245,Mirpur-2,23.8053029,90.3633273,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0246,Mirpur-6,23.8053029,90.3633273,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0247,Mirpur(1),23.8053029,90.3633273,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0248,Mirpur(10),23.8063401,90.3686728,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0249,Mirpur(14),23.7980650,90.3871030,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0250,Mohakhali,23.7779438,90.3984827,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0253,Mohammadpur,23.7569928,90.3617359,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0254,Mohammadpur (Asad Avenue),23.7569928,90.3617359,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0255,Mohammadpur (Basila Road),23.7568954,90.3606598,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0256,Mohammadpur (Japan Garden City),23.7569928,90.3617359,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0257,Mohammadpur Bus Stand,23.7569928,90.3617359,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0259,Mohammadpur Town Hall,23.7596689,90.3662806,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0260,Motijheel,23.7268333,90.4219697,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0261,Motijheel (Hirjheel),23.7268333,90.4219697,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0262,Motijheel (Notre Dame College),23.7268333,90.4219697,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0263,Motijheel (Shapla Chattar),23.7268333,90.4219697,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0264,Mouchak,24.0229567,90.2940262,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0265,Mouchak (Flyover),24.0229567,90.2940262,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0268,Nabisco,23.7696456,90.4008637,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0269,Nandan Park,24.0311990,90.2418820,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0270,Narayanganj,23.6169075,90.5053835,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0275,Nawabganj,23.6610210,90.1621870,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0281,Nobinagar (Savar),23.9149470,90.2593640,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0284,Notun Bazar,23.7974455,90.4235114,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0287,Pagla Bazar,23.6615459,90.4565864,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0289,Pallabi (Ceramic),23.8283207,90.3641049,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0290,Pallabi (Mirpur-12),23.8283207,90.3641049,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0291,Paltan,23.7303048,90.4098134,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0293,Paturia,23.7893170,89.8099670,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0298,Press Club,23.7301359,90.4073461,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0305,Rajarbagh,23.7401997,90.4198651,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0312,Rampura,23.7679175,90.4231695,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0313,Rampura (Bonsree),23.7679175,90.4231695,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0314,Rampura Bridge,23.7679175,90.4231695,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0316,Rayerbag,23.6994310,90.4570220,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0326,Savar,23.8472494,90.2572989,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0327,Sayedabad,23.7942981,91.1483288,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0340,Shewrapara,23.7904911,90.3755519,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0346,Shyamoli,23.7750863,90.3650503,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0348,Signboard,24.3644902,90.3758769,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0349,Sobhanbag,23.7543493,90.3767284,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0353,Sreepur,24.7973194,90.0216687,village,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0355,Staff Quarter,23.7200052,90.4903449,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0356,Staff Road,23.8116965,90.4036888,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0359,T&T Para,23.7251165,90.4286021,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0362,Technical,23.7818634,90.3513823,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0365,Tikatuli,23.7176288,90.4196726,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0367,Tongi,23.8937895,90.4034861,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0368,Tongi (Bastuhara),23.8937895,90.4034861,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0370,Tongi Bazar,23.8937895,90.4034861,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0371,Town Hall,23.7596689,90.3662806,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0376,Uttar Badda,23.7857042,90.4256113,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0386,Zirani,23.9917060,90.2564910,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0387,Zoo,23.8004204,90.3559690,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_04,Pallabi,23.8283207,90.3641049,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_05,Mirpur 11,23.8156691,90.3661268,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_06,Mirpur 10,23.8063401,90.3686728,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_07,Kazipara,23.7971079,90.3729885,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_08,Shewrapara,23.7904911,90.3755519,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_11,Farmgate,23.7573094,90.3900684,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_16,Motijheel,23.7268333,90.4219697,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
metro,MRT6_17,Kamalapur,23.7327369,90.4250317,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
