raw_stop_name,normalized_stop_name,existing_canonical_place_id,existing_canonical_name_en,existing_match_score,existing_match_method,candidate_place_id,candidate_place_name_en,candidate_place_similarity,candidate_osm_stop_id,candidate_osm_stop_name,candidate_osm_latitude,candidate_osm_longitude,candidate_osm_similarity,proposal_status,safe_to_auto_verify,source_id
Bashtola -,bashtola,,,0.7143,unmatched,PLC0046,Basila,0.7143,2994114617,Bashtola Bus Stand,23.7943849,90.4240761,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Bata Signal,bata signal,,,0.5882,unmatched,PLC0046,Basila,0.5882,3345602131,Bata Signal Bus Stop,23.7389887,90.388255,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Beribadh Tin Rastar Moor,beribadh tin rastar,,,0.5926,unmatched,PLC0037,Bangla Motor,0.5000,12497979607,"Beribadh Tin Rastar Mor Bus Stop, Bus stop",23.7566448,90.3562044,0.9787,review_high_osm_similarity,no,SRC_BUS_GITHUB
Birulia,birulia,,,0.6154,unmatched,PLC0046,Basila,0.6154,13270088630,"Birulia Bus Stop, Bus stop",23.8541895,90.3324214,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Bot tola,bot tola,,,0.625,unmatched,PLC0295,Postgola,0.6250,3739984012,Taltola,23.7832966,90.3785274,0.6667,manual_review,no,SRC_BUS_GITHUB
CMH,cmh,,,0.4,unmatched,PLC0105,ECB Morh,0.5455,12169756230,CMB Bus Stop,23.8724121,90.2731938,0.6667,manual_review,no,SRC_BUS_GITHUB
Cantonment,cantonment,,,0.625,unmatched,PLC0068,Cantonment Signal Gate,0.6250,12169756307,Savar Cantonment,23.917256,90.2603874,0.7692,manual_review,no,SRC_BUS_GITHUB
Chairman Bari,chairman bari,,,0.6957,unmatched,PLC0184,Khamarbari,0.6957,12073083676,Chairman Bari Bus Stop,23.78786,90.400098,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Chashara,chashara,,,0.6667,unmatched,PLC0072,Chasara Bus Stand,0.9333,5187631138,Chashara Bus Stand,23.6251284,90.4984039,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Chiriyakhana,chiriyakhana,,,0.5833,unmatched,PLC0211,Majhir Kanda,0.5833,5187631138,Chashara Bus Stand,23.6251284,90.4984039,0.6000,manual_review,no,SRC_BUS_GITHUB
Chittagong Road,chittagong road,,,0.5833,unmatched,PLC0207,Link Road,0.5833,12104116680,Station Road Bus Stand,23.8929115,90.4019846,0.6667,manual_review,no,SRC_BUS_GITHUB
Dainik Bangla Moor,dainik bangla,,,0.8,unmatched,PLC0037,Bangla Motor,0.7333,6139734069,Dainik Bangla Mor Bus Stop,23.7301345,90.4152482,0.9714,review_high_osm_similarity,no,SRC_BUS_GITHUB
Dayaganj,dayaganj,,,0.7619,unmatched,PLC0081,Dayaganj Road,0.7619,6139144367,Doyagonj Bus Stop,23.7102679,90.4241209,0.7500,manual_review,no,SRC_BUS_GITHUB
Dhakeshwari,dhakeshwari,,,0.8,unmatched,PLC0089,Dhaleswar,0.8000,5187631138,Chashara Bus Stand,23.6251284,90.4984039,0.6316,manual_review,no,SRC_BUS_GITHUB
Dhanmondi 27,dhanmondi 27,,,0.8571,unmatched,PLC0091,Dhanmondi,0.8571,12009447484,Dhanmondi 27 Bus stop,23.7560325,90.3757211,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Dhanmondi 32,dhanmondi 32,,,0.8571,unmatched,PLC0091,Dhanmondi,0.8571,12009447484,Dhanmondi 27 Bus stop,23.7560325,90.3757211,0.9167,manual_review,no,SRC_BUS_GITHUB
