route_id,stop_sequence,place_id,stop_name_en,stop_name_bn,cumulative_distance_km,segment_distance_from_previous_km,source_id
BRTA_A_127_NO,10,PLC0018,Azimpur,আজিমপুর,12.0,1.2,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,1,PLC0249,Mirpur(14),মিরপুর(১৪),0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,2,PLC0248,Mirpur(10),মিরপুর(১০),2.1,2.1,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,3,PLC0247,Mirpur(1),মিরপুর(১),3.6,1.5,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,4,PLC0036,Bangla College,বাংলা কলেজ,5.3,1.7,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,5,PLC0346,Shyamoli,শ্যামলী,7.4,2.1,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,6,PLC0012,Asad Gate,আসাদগেট,8.9,1.5,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,7,PLC0344,Shukrabad,শুক্রাবাদ,9.4,0.5,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,8,PLC0156,Kalabagan,কলাবাগান,10.1,0.7,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,9,PLC0329,Science Lab,সাইন্সল্যাব,11.9,1.8,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,10,PLC0331,Shahbag,শাহবাগ,13.1,1.2,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,11,PLC0298,Press Club,প্রেসক্লাব,14.7,1.6,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,12,PLC0335,Shapla Chattar,শাপলা চত্বর,17.1,2.4,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,13,PLC0164,Kamalapur,কমলাপুর,18.1,1.0,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,14,PLC0044,Basabo,বাসাবো,20.9,2.8,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,15,PLC0191,Khilgaon Rail Gate,খিলগাঁও রেলগেট,23.3,2.4,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,16,PLC0192,Khilgaon Taltala,খিলগাঁও তালতলা,25.7,2.4,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,1,PLC0387,Zoo,চিড়িয়াখানা,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,2,PLC0239,Mirpur-1,মিরপুর-১,1.8,1.8,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,3,PLC0080,Darussalam,দারুসসালাম,3.8,2.0,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,4,PLC0346,Shyamoli,শ্যামলী,5.4,1.6,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,5,PLC0012,Asad Gate,আসাদগেট,7.2,1.8,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,6,PLC0112,Farmgate,ফার্মগেট,9.0,1.8,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,7,PLC0298,Press Club,প্রেসক্লাব,12.6,3.6,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,8,PLC0125,Gulistan,গুলিস্তান,13.7,1.1,SRC_BRTA_METRO_FARES
BRTA_A_131_NO,9,PLC0380,Victoria Park,ভিক্টোরিয়া পার্ক,16.0,2.3,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,1,PLC0029,Baipail,বাইপাইল,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,2,PLC0169,Kamarpara,কামারপাড়া,15.5,15.5,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,3,PLC0001,Abdullahpur,আব্দুল্লাহপুর,17.7,2.2,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,4,PLC0018,Azimpur,আজমপুর,18.4,0.7,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,5,PLC0005,Airport,এয়ারপোর্ট,20.7,2.3,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,6,PLC0193,Khilkhet,খিলক্ষেত,23.5,2.8,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,7,PLC0060,Bishwo Road,বিশ্বরোড,24.4,0.9,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,8,PLC0356,Staff Road,স্টাফরোড,26.4,2.0,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,9,PLC0154,Kakoli,কাকলি,28.4,2.0,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,10,PLC0250,Mohakhali,মহাখালী,30.2,1.8,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,11,PLC0112,Farmgate,ফার্মগেট,33.1,2.9,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,12,PLC0331,Shahbag,শাহবাগ,35.5,2.4,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,13,PLC0298,Press Club,প্রেসক্লাব,37.3,1.8,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,14,PLC0113,Fulbaria,ফুলবাড়িয়া,38.8,1.5,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,15,PLC0021,Babu Bazar Bridge,বাবু বাজার ব্রীজ,40.2,1.4,SRC_BRTA_METRO_FARES
BRTA_A_132_NO,16,PLC0182,Keraniganj (New Jail),কেরানীগঞ্জ (নতুন জেলখানা),47.5,7.3,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,1,PLC0327,Sayedabad,সায়েদাবাদ,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,2,PLC0038,Bangladesh Bank,বাংলাদেশ ব্যাংক,2.3,2.3,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,3,PLC0373,UBL,ইউবিএল,3.4,1.1,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,4,PLC0298,Press Club,প্রেসক্লাব,4.0,0.6,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,5,PLC0331,Shahbag,শাহবাগ,5.2,1.2,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,6,PLC0112,Farmgate,ফার্মগেট,7.5,2.3,SRC_BRTA_METRO_FARES
BRTA_A_137_NO,7,PLC0031,Balughat,বালুঘাট,14.6,7.1,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,1,PLC0378,Uttara (Raniganj),উত্তরা (রানীগঞ্জ),0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,2,PLC0274,Natun Bazar,নতুন বাজার,11.8,11.8,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,3,PLC0315,Rampura TV Center,রামপুরা টিভি সেন্টার,15.2,3.4,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,4,PLC0212,Malibagh,মালিবাগ,18.5,3.3,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,5,PLC0155,Kakrail,কাকরাইল,19.3,0.8,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,6,PLC0034,Bangabandhu Avenue,বঙ্গবন্ধু এভিনিউ,21.0,1.7,SRC_BRTA_METRO_FARES
BRTA_A_138_NO,7,PLC0380,Victoria Park,ভিক্টোরিয়া পার্ক,23.3,2.3,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,1,PLC0063,Bonoshri,বনশ্রী,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,2,PLC0312,Rampura,রামপুরা,2.5,2.5,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,3,PLC0250,Mohakhali,মহাখালী,10.2,7.7,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,4,PLC0004,Agargaon,আগারগাঁও,14.1,3.9,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,5,PLC0347,Shyamoli Ring Road,শ্যামলী রিং রোড,16.7,2.6,SRC_BRTA_METRO_FARES
BRTA_A_141_NO,6,PLC0258,Mohammadpur Shia Mosque,মোহাম্মদপুর শিয়া মসজিদ,18.2,1.5,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,1,PLC0294,Pirjangi Mazar,পীরজঙ্গী মাজার,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,2,PLC0166,Kamalapur Station,কমলাপুর স্টেশন,0.5,0.5,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,3,PLC0038,Bangladesh Bank,বাংলাদেশ ব্যাংক,1.5,1.0,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,4,PLC0354,Stadium,স্টেডিয়াম,2.8,1.3,SRC_BRTA_METRO_FARES
