route_id,from_place_id,from_name_en,to_place_id,to_name_en,segment_distance_km,direction,source_id
BRTA_A_127_NO,PLC0012,Asad Gate,PLC0346,Shyamoli,2.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0012,Asad Gate,PLC0320,Russell Square,2.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0320,Russell Square,PLC0012,Asad Gate,2.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0320,Russell Square,PLC0156,Kalabagan,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0156,Kalabagan,PLC0320,Russell Square,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0156,Kalabagan,PLC0329,Science Lab,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0329,Science Lab,PLC0156,Kalabagan,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0329,Science Lab,PLC0279,New Market,0.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0279,New Market,PLC0329,Science Lab,0.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0279,New Market,PLC0280,Nilkhet,0.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0280,Nilkhet,PLC0279,New Market,0.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0280,Nilkhet,PLC0018,Azimpur,1.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0018,Azimpur,PLC0280,Nilkhet,1.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0249,Mirpur(14),PLC0248,Mirpur(10),2.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0248,Mirpur(10),PLC0249,Mirpur(14),2.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0248,Mirpur(10),PLC0247,Mirpur(1),1.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0247,Mirpur(1),PLC0248,Mirpur(10),1.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0247,Mirpur(1),PLC0036,Bangla College,1.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0036,Bangla College,PLC0247,Mirpur(1),1.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0036,Bangla College,PLC0346,Shyamoli,2.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0346,Shyamoli,PLC0036,Bangla College,2.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0346,Shyamoli,PLC0012,Asad Gate,1.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0012,Asad Gate,PLC0346,Shyamoli,1.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0012,Asad Gate,PLC0344,Shukrabad,0.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0344,Shukrabad,PLC0012,Asad Gate,0.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0344,Shukrabad,PLC0156,Kalabagan,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0156,Kalabagan,PLC0344,Shukrabad,0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0156,Kalabagan,PLC0329,Science Lab,1.8,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0329,Science Lab,PLC0156,Kalabagan,1.8,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0329,Science Lab,PLC0331,Shahbag,1.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0331,Shahbag,PLC0329,Science Lab,1.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0331,Shahbag,PLC0298,Press Club,1.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0298,Press Club,PLC0331,Shahbag,1.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0298,Press Club,PLC0335,Shapla Chattar,2.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0335,Shapla Chattar,PLC0298,Press Club,2.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0335,Shapla Chattar,PLC0164,Kamalapur,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0164,Kamalapur,PLC0335,Shapla Chattar,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_129_NO,PLC0164,Kamalapur,PLC0044,Basabo,2.8,forward,SRC_BRTA_METRO_FARES
