entity_type,entity_id,name_en,name_bn,search_text,latitude,longitude,provider,confidence,status
official_place,PLC0116,Gausia/Chandnichok,গাউসিয়া/চাঁদনীচক,"Gausia/Chandnichok, Dhaka, Bangladesh",,,,,pending
official_place,PLC0117,Gazipur,গাজীপুর,"Gazipur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0118,Gazipur Crossroad,গাজীপুর চৌরাস্তা,"Gazipur Crossroad, Dhaka, Bangladesh",,,,,pending
official_place,PLC0119,Ghatarchar,ঘাটারচর,"Ghatarchar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0120,Ghatarchor,ঘাটেরচর,"Ghatarchor, Dhaka, Bangladesh",,,,,pending
official_place,PLC0121,Ghater Char,ঘাটের চর,"Ghater Char, Dhaka, Bangladesh",,,,,pending
official_place,PLC0122,Golapshah Mazar,গোলাপশাহ মাজার,"Golapshah Mazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0123,Golapshah Mazar (Fulbaria),গোলাপশাহ মাজার (ফুলবাড়ীয়া),"Golapshah Mazar (Fulbaria), Dhaka, Bangladesh",,,,,pending
official_place,PLC0124,GPO,জিপিও,"GPO, Dhaka, Bangladesh",,,,,pending
official_place,PLC0125,Gulistan,গুলিস্তান,"Gulistan, Dhaka, Bangladesh",,,,,pending
official_place,PLC0126,Gulistan (Fulbaria),গুলিস্তান (ফুলবাড়িয়া),"Gulistan (Fulbaria), Dhaka, Bangladesh",,,,,pending
official_place,PLC0127,Gulistan (Hanif Flyover),গুলিস্তান (হানিফ ফ্লাইওভার),"Gulistan (Hanif Flyover), Dhaka, Bangladesh",,,,,pending
official_place,PLC0128,Gulistan Morh,গুলিস্তান মোড়,"Gulistan Morh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0129,Gulshan-1,গুলশান-১,"Gulshan-1, Dhaka, Bangladesh",,,,,pending
official_place,PLC0130,Gulshan-2,গুলশান-২,"Gulshan-2, Dhaka, Bangladesh",,,,,pending
official_place,PLC0131,Hanif Flyover,হানিফ ফ্লাইওভার,"Hanif Flyover, Dhaka, Bangladesh",,,,,pending
official_place,PLC0132,Hemayetpur,হেমায়েতপুর,"Hemayetpur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0133,High Court,হাইকোর্ট,"High Court, Dhaka, Bangladesh",,,,,pending
official_place,PLC0134,Hota Para,হোতা পাড়া,"Hota Para, Dhaka, Bangladesh",,,,,pending
official_place,PLC0135,House Building,হাউজ বিল্ডিং,"House Building, Dhaka, Bangladesh",,,,,pending
official_place,PLC0136,Intefak,ইন্তেফাক,"Intefak, Dhaka, Bangladesh",,,,,pending
official_place,PLC0137,Islampur,ইসলামপুর,"Islampur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0138,Jagannath University,জগন্নাথ বিশ্ববিদ্যালয়,"Jagannath University, Dhaka, Bangladesh",,,,,pending
official_place,PLC0139,Jamuna Future Park,যমুনা ফিউচার পার্ক,"Jamuna Future Park, Dhaka, Bangladesh",,,,,pending
official_place,PLC0140,Japan Garden City,জাপান গার্ডেন সিটি,"Japan Garden City, Dhaka, Bangladesh",,,,,pending
official_place,PLC0141,Jasim Uddin,জসীমউদ্দিন,"Jasim Uddin, Dhaka, Bangladesh",,,,,pending
official_place,PLC0142,Jasimuddin,জসমউদ্দিন,"Jasimuddin, Dhaka, Bangladesh",,,,,pending
official_place,PLC0143,Jatrabari,যাত্রাবাড়ী,"Jatrabari, Dhaka, Bangladesh",,,,,pending
official_place,PLC0144,Jigatola,জিগাতলা,"Jigatola, Dhaka, Bangladesh",,,,,pending
official_place,PLC0145,Jinjira,জিঞ্জিরা,"Jinjira, Dhaka, Bangladesh",,,,,pending
official_place,PLC0146,Jirabo,জিরাবো,"Jirabo, Dhaka, Bangladesh",,,,,pending
official_place,PLC0147,Jirani Bazar,জিরানী বাজার,"Jirani Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0148,Jonopoth,জনপথ,"Jonopoth, Dhaka, Bangladesh",,,,,pending
official_place,PLC0149,Jonopoth Mor,জনপথ মোড়,"Jonopoth Mor, Dhaka, Bangladesh",,,,,pending
official_place,PLC0150,Jurain,জুরাইন,"Jurain, Dhaka, Bangladesh",,,,,pending
official_place,PLC0151,Kadamtoli,কদমতলী,"Kadamtoli, Dhaka, Bangladesh",,,,,pending
official_place,PLC0152,Kajla,কাজলা,"Kajla, Dhaka, Bangladesh",,,,,pending
official_place,PLC0153,Kajli,কাজলি,"Kajli, Dhaka, Bangladesh",,,,,pending
official_place,PLC0154,Kakoli,কাকলি,"Kakoli, Dhaka, Bangladesh",,,,,pending
official_place,PLC0155,Kakrail,কাকরাইল,"Kakrail, Dhaka, Bangladesh",,,,,pending
official_place,PLC0156,Kalabagan,কলাবাগান,"Kalabagan, Dhaka, Bangladesh",,,,,pending
official_place,PLC0157,Kalampur,কালামপুর,"Kalampur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0158,Kalapani,কালাপানি,"Kalapani, Dhaka, Bangladesh",,,,,pending
official_place,PLC0159,Kalashi Mor,কালাশি মোড়,"Kalashi Mor, Dhaka, Bangladesh",,,,,pending
official_place,PLC0160,Kalshi,কালশী,"Kalshi, Dhaka, Bangladesh",,,,,pending
official_place,PLC0161,Kalshi Morh,কালশিমোড়,"Kalshi Morh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0162,Kalshir Mor,কালশীর মোড়,"Kalshir Mor, Dhaka, Bangladesh",,,,,pending
official_place,PLC0163,Kalyanpur,কল্যাণপুর,"Kalyanpur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0164,Kamalapur,কমলাপুর,"Kamalapur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0165,Kamalapur (Pirjangi Mazar),কমলাপুর (পীরজঙ্গী মাজার),"Kamalapur (Pirjangi Mazar), Dhaka, Bangladesh",,,,,pending
official_place,PLC0166,Kamalapur Station,কমলাপুর স্টেশন,"Kamalapur Station, Dhaka, Bangladesh",,,,,pending
official_place,PLC0167,Kamar Para,কামার পাড়া,"Kamar Para, Dhaka, Bangladesh",,,,,pending
official_place,PLC0168,Kamarpada,কামারপাড়া,"Kamarpada, Dhaka, Bangladesh",,,,,pending
official_place,PLC0169,Kamarpara,কামারপাড়া,"Kamarpara, Dhaka, Bangladesh",,,,,pending
official_place,PLC0170,Kamrangirchar (Beribadh),কামারঙ্গীরচর (বেড়িবাঁধ),"Kamrangirchar (Beribadh), Dhaka, Bangladesh",,,,,pending
official_place,PLC0171,Kanchpur,কাঁচপুর,"Kanchpur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0172,Kanchpur Bridge,কাঁচপুরব্রীজ,"Kanchpur Bridge, Dhaka, Bangladesh",,,,,pending
official_place,PLC0173,Kapasia,কাপাসিয়া,"Kapasia, Dhaka, Bangladesh",,,,,pending
official_place,PLC0174,Karwan Bazar,কারওয়ান বাজার,"Karwan Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0175,Kasempur,কাশেমপুর,"Kasempur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0176,Kashi,কাশী,"Kashi, Dhaka, Bangladesh",,,,,pending
official_place,PLC0177,Katabon,কাটাবন,"Katabon, Dhaka, Bangladesh",,,,,pending
official_place,PLC0178,Kawran Bazar,কাওরানবাজার,"Kawran Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0179,Kazipara,কাজীপাড়া,"Kazipara, Dhaka, Bangladesh",,,,,pending
official_place,PLC0180,Kazlail,কাজলাইল,"Kazlail, Dhaka, Bangladesh",,,,,pending
official_place,PLC0181,Keraniganj,কেরানীগঞ্জ,"Keraniganj, Dhaka, Bangladesh",,,,,pending
official_place,PLC0182,Keraniganj (New Jail),কেরানীগঞ্জ (নতুন জেলখানা),"Keraniganj (New Jail), Dhaka, Bangladesh",,,,,pending
official_place,PLC0183,Khaisakhali Beribadh,খাইস্যাখালী বেড়িবাঁধ,"Khaisakhali Beribadh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0184,Khamarbari,খামারবাড়ী,"Khamarbari, Dhaka, Bangladesh",,,,,pending
official_place,PLC0185,Khamrai,খামরাই,"Khamrai, Dhaka, Bangladesh",,,,,pending
official_place,PLC0186,Khanmondol,খানমন্ডল,"Khanmondol, Dhaka, Bangladesh",,,,,pending
official_place,PLC0187,Kharshur,খারশুর,"Kharshur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0188,Khasiakhali Beribadh,খাসিয়াখালী বেড়িবাঁধ,"Khasiakhali Beribadh, Dhaka, Bangladesh",,,,,pending
